ItemId,categoryid,parentid
1,1114,113
2,1305,1214
3,1171,938
5,1061,1259
6,1091,573
11,414,206
13,273,362
14,512,362
15,722,1110
17,1265,1136
18,499,986
19,1171,938
21,1238,265
24,1244,500
25,1509,620
26,1503,580
27,769,587
30,1250,1423
31,1338,1278
32,1173,805
34,330,986
35,1301,1034
39,535,426
42,84,1308
44,227,602
49,77,590
50,279,777
51,1441,1566
52,512,362
53,988,727
55,586,1519
56,1124,351
57,1489,1009
58,984,827
59,237,1550
65,628,149
68,1091,573
69,1301,1034
70,1301,1034
71,977,871
72,1584,1562
73,1186,312
74,769,587
77,324,1145
78,806,1497
79,1387,933
80,1262,1658
82,1007,485
83,619,145
84,526,1453
85,342,500
86,958,1041
87,429,113
90,1393,1383
92,924,1416
93,1418,896
94,1147,1027
97,1007,485
98,535,426
102,242,1531
104,1301,1034
105,1163,561
106,389,1259
108,984,827
109,1483,561
110,958,1041
112,523,593
115,746,1200
117,1483,561
120,173,788
122,1432,362
125,1076,986
126,1694,1621
127,403,1687
129,996,1259
130,1277,312
131,135,1618
133,535,426
134,531,1058
139,562,986
140,273,362
141,1510,1009
142,999,1621
143,374,131
144,959,1095
146,208,33
149,1120,250
150,13,1495
151,1445,293
152,1564,1141
154,342,500
155,1047,127
156,769,587
157,1385,1202
162,1680,587
163,407,207
164,50,312
171,403,1687
172,988,727
175,1483,561
176,209,293
179,1007,485
180,686,594
184,996,1259
185,618,105
186,403,1687
189,1639,1181
190,1255,587
191,1404,593
192,342,500
196,1173,805
198,1376,480
199,1163,561
200,686,594
203,64,206
204,1250,1423
205,1007,485
207,586,1519
209,1517,71
212,686,594
214,1084,194
216,1635,866
217,319,92
218,438,312
219,1415,14
224,996,1259
226,936,143
230,730,1482
232,196,1667
233,1172,810
234,1301,1034
235,1029,1181
237,1474,480
240,1542,745
243,1279,1606
244,730,1482
245,209,293
247,1240,1546
248,1007,485
250,816,623
252,730,1482
254,595,186
257,707,561
258,1142,485
261,816,623
262,1301,1034
263,1351,795
264,1613,250
266,414,206
270,646,1606
271,220,795
275,1483,561
277,730,1482
278,808,1272
283,1455,213
285,1373,872
287,342,500
288,256,1257
289,427,1313
290,273,362
293,1680,587
294,1007,485
295,1528,1426
296,337,653
297,342,500
299,330,986
301,1378,322
303,282,113
304,618,105
305,707,561
306,1147,1027
307,1087,622
308,819,798
311,1191,61
316,1196,1181
318,741,362
319,1358,1009
320,929,1027
323,512,362
324,1059,1696
325,342,500
326,1085,1228
328,48,500
329,1483,561
330,173,788
331,927,605
336,421,1424
341,1203,755
342,646,1606
344,278,362
345,374,131
346,806,1497
348,390,1546
350,1261,25
351,1301,1034
353,1076,986
355,1196,1181
356,1454,1596
359,1533,602
360,251,194
362,741,362
365,1432,362
366,65,293
370,1504,587
374,13,1495
375,1173,805
376,844,1458
380,342,500
381,792,805
387,1091,573
389,342,500
390,1233,1257
391,1231,901
392,251,194
395,1432,362
404,531,1058
408,1113,1145
412,1018,1331
414,1493,594
415,1051,955
419,996,1259
420,77,590
422,1061,1259
424,342,500
425,331,1487
426,1287,1009
428,1598,229
431,1613,250
432,1244,500
433,1680,587
434,914,226
435,1070,1423
436,1504,587
438,1301,1034
439,589,1308
441,1135,1329
443,1343,25
444,828,293
446,1338,1278
448,436,1518
450,198,1009
451,414,206
453,988,727
454,436,1518
455,342,500
456,1091,573
457,1142,485
459,512,362
460,1421,105
461,330,986
462,1007,485
464,1172,810
466,196,1667
469,958,1041
471,741,362
472,1070,1423
473,342,500
474,1084,194
476,1061,1259
478,1142,485
482,1483,561
485,1248,1368
488,429,113
489,926,852
490,463,250
491,494,768
492,2,312
493,173,788
495,1447,351
496,707,561
497,173,788
500,1007,485
503,1221,1426
504,342,500
505,64,206
510,1535,727
515,914,226
518,173,788
520,617,131
521,1358,1009
522,1026,351
528,342,500
529,1179,580
530,1503,580
531,1301,1034
533,646,1606
534,1500,1515
537,1404,593
538,706,713
539,1483,561
544,1301,1034
546,1349,121
547,1113,1145
548,342,500
549,586,1519
553,65,293
557,342,500
559,1279,1606
561,1007,485
564,342,500
565,1338,1278
569,342,500
570,646,1606
571,1277,312
573,1248,1368
574,1694,1621
576,1250,1423
578,1395,1012
580,1142,485
586,1328,432
587,1142,485
588,1318,986
592,1029,1181
593,499,986
596,414,206
597,1384,1458
599,282,113
600,842,1518
601,389,1259
602,1421,105
605,959,1095
607,130,145
609,1261,25
611,1070,1423
613,1402,250
614,195,1079
618,1404,593
620,421,1424
622,1018,1331
623,1441,1566
624,1070,1423
626,48,500
632,1250,1423
634,1007,485
637,769,587
638,769,587
642,1510,1009
644,508,362
646,499,986
647,800,383
649,248,1596
650,988,727
651,1196,1181
652,360,1174
653,374,131
654,1603,520
655,224,1487
656,230,1424
657,1477,206
661,1483,561
662,808,1272
663,1659,825
665,1553,886
667,1634,143
669,1355,312
670,686,594
672,1228,121
675,598,362
676,549,781
678,1387,933
679,769,587
681,1680,587
682,217,908
687,1196,1181
689,430,1502
693,792,805
695,1533,602
699,1250,1423
702,739,1181
703,1474,480
704,512,362
705,936,143
706,126,871
708,1007,485
709,1114,113
710,1038,1174
712,844,1458
714,1088,287
716,429,113
717,130,145
719,921,143
720,1135,1329
721,977,871
722,598,362
724,1388,1249
725,1542,745
726,1070,1423
727,1447,351
728,1477,206
729,1007,485
732,1486,140
734,414,206
736,799,920
737,624,871
738,746,1200
739,227,602
741,921,143
744,342,500
745,1301,1034
747,184,1009
748,1264,1687
749,414,206
752,619,145
755,828,293
757,1026,351
758,624,871
759,1147,1027
760,79,1687
762,844,1458
763,29,1678
764,1018,1331
768,1007,485
769,806,1497
771,374,131
772,475,1550
774,769,587
775,421,1424
777,1167,250
778,1378,322
779,769,587
780,1474,480
782,512,362
785,769,587
786,799,920
790,926,852
792,1577,362
793,1142,485
795,1163,561
796,1084,194
797,192,1181
798,1142,485
799,217,908
800,65,293
801,1275,1618
802,769,587
803,324,1145
807,1225,8
808,1625,1141
809,518,362
810,1613,250
817,1147,1027
821,1098,897
823,1421,105
824,1404,593
826,342,500
827,47,381
828,741,362
829,707,561
830,342,500
832,1542,745
834,209,293
835,806,1497
837,209,293
